yelenId;year;seasonStart;seasonEnd;indexType;locationNanoId;region;province;department;city;beneficiarySex;subscriptionDate;premium;sumInsured;triggerSevere;payoutSevere;triggerMedium;payoutMedium;triggerLow;payoutLow;indexReferenceValue;indexEndOfSeasonValue;indexRatio;payoutEstimated
QF103642;2023;Decade 13;Decade 32;WRSI Fusion;mVhLjLdqpj5i;Nord;Yatenga;KOSSOUKA;;F;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103643;2023;Decade 13;Decade 32;WRSI Fusion;b-3TPftwbwK4;Nord;Yatenga;KOSSOUKA;;F;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103644;2023;Decade 13;Decade 32;WRSI Fusion;mVhLjLdqpj5i;Nord;Yatenga;KOSSOUKA;;F;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103645;2023;Decade 13;Decade 32;WRSI Fusion;mVhLjLdqpj5i;Nord;Yatenga;KOSSOUKA;;F;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103646;2023;Decade 13;Decade 32;WRSI Sorgho;b4KHGP1XiSPp;Nord;Yatenga;KOSSOUKA;;M;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103647;2023;Decade 13;Decade 32;WRSI Sorgho;b4KHGP1XiSPp;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103648;2023;Decade 13;Decade 32;WRSI Sorgho;nLmZ5GoXSM5s;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103649;2023;Decade 13;Decade 32;WRSI Sorgho;b4KHGP1XiSPp;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103650;2023;Decade 13;Decade 32;WRSI Sorgho;nLmZ5GoXSM5s;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103651;2023;Decade 13;Decade 32;WRSI Fusion;b4KHGP1XiSPp;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103652;2023;Decade 13;Decade 32;WRSI Sorgho;nLmZ5GoXSM5s;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103653;2023;Decade 13;Decade 32;WRSI Sorgho;nLmZ5GoXSM5s;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103654;2023;Decade 13;Decade 32;WRSI Sorgho;b4KHGP1XiSPp;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103655;2023;Decade 13;Decade 32;WRSI Sorgho;nLmZ5GoXSM5s;Nord;Yatenga;KOSSOUKA;;M;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103656;2023;Decade 13;Decade 32;WRSI Sorgho;b4KHGP1XiSPp;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103657;2023;Decade 13;Decade 32;WRSI Fusion;b4KHGP1XiSPp;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103658;2023;Decade 13;Decade 32;WRSI Sorgho;nLmZ5GoXSM5s;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103659;2023;Decade 13;Decade 32;WRSI Sorgho;b4KHGP1XiSPp;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
QF103660;2023;Decade 13;Decade 32;WRSI Sorgho;b4KHGP1XiSPp;Nord;Yatenga;KOSSOUKA;;F;2023-10-02 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.5955915677859;74.5588830253962;0.960864934707832;0
